"No.","Time","Source","Destination","Protocol","Length","Info"
"156","0.241925","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"157","0.242016","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"158","0.242109","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"159","0.242201","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"160","0.242324","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"161","0.242417","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"162","0.242506","192.168.0.105","91.108.29.170","UDP","747","1703  >  58415 Len=705"
"163","0.242600","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"164","0.242688","192.168.0.105","91.108.29.170","UDP","767","1703  >  58415 Len=725"
"165","0.242781","192.168.0.105","91.108.29.170","UDP","767","1703  >  58415 Len=725"
"166","0.252754","91.108.29.170","192.168.0.105","UDP","116","58415  >  1703 Len=74"
"167","0.260865","192.168.0.105","91.108.29.170","UDP","137","1703  >  58415 Len=95"
"168","0.272790","91.108.29.170","192.168.0.105","UDP","121","58415  >  1703 Len=79"
"169","0.273677","192.168.0.105","91.108.29.170","UDP","1065","1703  >  58415 Len=1023"
"170","0.273836","192.168.0.105","91.108.29.170","UDP","1065","1703  >  58415 Len=1023"
"171","0.273972","192.168.0.105","91.108.29.170","UDP","1064","1703  >  58415 Len=1022"
"172","0.280573","192.168.0.105","91.108.29.170","UDP","139","1703  >  58415 Len=97"
"173","0.287971","91.108.29.170","192.168.0.105","UDP","114","58415  >  1703 Len=72"
"174","0.300572","192.168.0.105","91.108.29.170","UDP","132","1703  >  58415 Len=90"
"175","0.307931","91.108.29.170","192.168.0.105","UDP","115","58415  >  1703 Len=73"
"176","0.310148","91.108.29.170","192.168.0.105","UDP","1091","58415  >  1703 Len=1049"
"177","0.310356","91.108.29.170","192.168.0.105","UDP","1091","58415  >  1703 Len=1049"
"178","0.310362","91.108.29.170","192.168.0.105","UDP","1091","58415  >  1703 Len=1049"
"179","0.312156","91.108.29.170","192.168.0.105","UDP","1091","58415  >  1703 Len=1049"
"180","0.312161","91.108.29.170","192.168.0.105","UDP","1091","58415  >  1703 Len=1049"
"181","0.312168","91.108.29.170","192.168.0.105","UDP","611","58415  >  1703 Len=569"
"182","0.312173","91.108.29.170","192.168.0.105","UDP","611","58415  >  1703 Len=569"
"183","0.312183","91.108.29.170","192.168.0.105","UDP","611","58415  >  1703 Len=569"
"184","0.312459","91.108.29.170","192.168.0.105","UDP","611","58415  >  1703 Len=569"
"185","0.312511","91.108.29.170","192.168.0.105","UDP","611","58415  >  1703 Len=569"
"186","0.312517","91.108.29.170","192.168.0.105","UDP","611","58415  >  1703 Len=569"
"187","0.312521","91.108.29.170","192.168.0.105","UDP","611","58415  >  1703 Len=569"
"188","0.312528","91.108.29.170","192.168.0.105","UDP","611","58415  >  1703 Len=569"
"189","0.320392","192.168.0.105","91.108.29.170","UDP","132","1703  >  58415 Len=90"
"190","0.320617","91.108.29.170","192.168.0.105","UDP","611","58415  >  1703 Len=569"
"191","0.320775","91.108.29.170","192.168.0.105","UDP","611","58415  >  1703 Len=569"
"192","0.320781","91.108.29.170","192.168.0.105","UDP","606","58415  >  1703 Len=564"
"193","0.321030","91.108.29.170","192.168.0.105","UDP","1107","58415  >  1703 Len=1065"
"194","0.321396","91.108.29.170","192.168.0.105","UDP","1107","58415  >  1703 Len=1065"
"195","0.323937","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"196","0.324184","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"197","0.324306","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"198","0.324416","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"199","0.324507","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"200","0.324596","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"201","0.324686","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"202","0.324776","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"203","0.324869","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"204","0.324959","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"205","0.325054","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"206","0.325207","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"207","0.325369","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"208","0.325532","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"209","0.325635","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"210","0.325726","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"211","0.325818","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"212","0.325908","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"213","0.326006","192.168.0.105","91.108.29.170","UDP","946","1703  >  58415 Len=904"
"214","0.326127","192.168.0.105","91.108.29.170","UDP","936","1703  >  58415 Len=894"
"215","0.326244","192.168.0.105","91.108.29.170","UDP","966","1703  >  58415 Len=924"
"216","0.326336","192.168.0.105","91.108.29.170","UDP","966","1703  >  58415 Len=924"
"217","0.333219","91.108.29.170","192.168.0.105","UDP","120","58415  >  1703 Len=78"
"218","0.339717","192.168.0.105","91.108.29.170","UDP","127","1703  >  58415 Len=85"
"219","0.349992","192.168.0.105","91.108.29.170","UDP","994","1703  >  58415 Len=952"
"220","0.350174","192.168.0.105","91.108.29.170","UDP","994","1703  >  58415 Len=952"
"221","0.350311","192.168.0.105","91.108.29.170","UDP","994","1703  >  58415 Len=952"
"222","0.350426","192.168.0.105","91.108.29.170","UDP","994","1703  >  58415 Len=952"
"223","0.350573","192.168.0.105","91.108.29.170","UDP","994","1703  >  58415 Len=952"
"224","0.353194","91.108.29.170","192.168.0.105","UDP","113","58415  >  1703 Len=71"
"225","0.360429","192.168.0.105","91.108.29.170","UDP","119","1703  >  58415 Len=77"
"226","0.368210","91.108.29.170","192.168.0.105","UDP","117","58415  >  1703 Len=75"
"227","0.381732","192.168.0.105","91.108.29.170","UDP","123","1703  >  58415 Len=81"
"228","0.384583","192.168.0.105","91.108.29.170","UDP","244","1703  >  58415 Len=202"
"229","0.388070","91.108.29.170","192.168.0.105","UDP","116","58415  >  1703 Len=74"
"230","0.390864","192.168.0.105","91.108.29.170","UDP","927","1703  >  58415 Len=885"
"231","0.391138","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"232","0.391261","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"233","0.391315","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"234","0.391384","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"235","0.391440","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"236","0.391502","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"237","0.391555","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"238","0.391623","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"239","0.391684","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"240","0.391745","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"241","0.391806","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"242","0.391867","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"243","0.391929","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"244","0.391995","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"245","0.392050","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"246","0.392112","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"247","0.392174","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"248","0.392236","192.168.0.105","91.108.29.170","UDP","919","1703  >  58415 Len=877"
"249","0.392297","192.168.0.105","91.108.29.170","UDP","914","1703  >  58415 Len=872"
"250","0.392376","192.168.0.105","91.108.29.170","UDP","939","1703  >  58415 Len=897"
"251","0.392451","192.168.0.105","91.108.29.170","UDP","939","1703  >  58415 Len=897"
"252","0.399855","192.168.0.105","91.108.29.170","UDP","123","1703  >  58415 Len=81"
"253","0.409693","91.108.29.170","192.168.0.105","UDP","117","58415  >  1703 Len=75"
"254","0.414145","91.108.29.170","192.168.0.105","UDP","934","58415  >  1703 Len=892"
"255","0.414470","91.108.29.170","192.168.0.105","UDP","933","58415  >  1703 Len=891"
"256","0.414502","91.108.29.170","192.168.0.105","UDP","959","58415  >  1703 Len=917"
"257","0.414506","91.108.29.170","192.168.0.105","UDP","958","58415  >  1703 Len=916"
"258","0.419450","192.168.0.105","91.108.29.170","UDP","122","1703  >  58415 Len=80"
"259","0.422562","192.168.0.105","91.108.29.170","UDP","1187","1703  >  58415 Len=1145"
"260","0.422648","192.168.0.105","91.108.29.170","UDP","1187","1703  >  58415 Len=1145"
"261","0.422728","192.168.0.105","91.108.29.170","UDP","1187","1703  >  58415 Len=1145"
"262","0.422784","192.168.0.105","91.108.29.170","UDP","1185","1703  >  58415 Len=1143"
"263","0.433346","91.108.29.170","192.168.0.105","UDP","115","58415  >  1703 Len=73"
"264","0.440954","192.168.0.105","91.108.29.170","UDP","118","1703  >  58415 Len=76"
"265","0.453526","91.108.29.170","192.168.0.105","UDP","115","58415  >  1703 Len=73"
"266","0.454032","192.168.0.105","91.108.29.170","UDP","684","1703  >  58415 Len=642"
"267","0.454192","192.168.0.105","91.108.29.170","UDP","684","1703  >  58415 Len=642"
"268","0.454333","192.168.0.105","91.108.29.170","UDP","684","1703  >  58415 Len=642"
"269","0.454434","192.168.0.105","91.108.29.170","UDP","684","1703  >  58415 Len=642"
"270","0.454549","192.168.0.105","91.108.29.170","UDP","684","1703  >  58415 Len=642"
"271","0.454639","192.168.0.105","91.108.29.170","UDP","684","1703  >  58415 Len=642"
"272","0.454737","192.168.0.105","91.108.29.170","UDP","684","1703  >  58415 Len=642"
"273","0.454828","192.168.0.105","91.108.29.170","UDP","684","1703  >  58415 Len=642"
"274","0.454913","192.168.0.105","91.108.29.170","UDP","684","1703  >  58415 Len=642"
"275","0.455003","192.168.0.105","91.108.29.170","UDP","684","1703  >  58415 Len=642"
